policy,seed,steps,households,gini_assets,gini_income,poverty_rate,means_tested_poverty_rate,unemployment_rate,labor_participation,avg_wage,treasury,avg_deficit_last20,tax_revenue,ubi_spending,targeted_spending,false_positive_spending,false_negative_amount
UBI only,34,80,238.0,0.4989555610797314,0.44203764936947776,0.27310924369747897,0.2815126050420168,0.06230529595015576,0.856,1950.2643079089617,7691280.548239582,-97675.08470754273,144620.08470754273,40945.0,0.0,0.0,0.0
UBI only,35,80,240.0,0.5584284227978056,0.46717665963028066,0.30833333333333335,0.30416666666666664,0.17827298050139276,0.8734793187347932,2107.687412076338,8101527.086558275,-122375.58158505053,172750.58158505053,43375.0,0.0,0.0,0.0
UBI only,36,80,241.0,0.5907247618377975,0.4700080051244586,0.3817427385892116,0.4066390041493776,0.21929824561403508,0.8361858190709046,1786.4363465879824,7297384.547942363,-86058.55709414725,135683.55709414725,44625.0,0.0,0.0,0.0
UBI only,37,80,242.0,0.5357447739697208,0.46573884268038657,0.34297520661157027,0.3181818181818182,0.25895316804407714,0.8481308411214953,1828.1487412512836,8604247.430889904,-114903.93584664821,163358.9358466482,44455.0,0.0,0.0,0.0
UBI only,38,80,239.0,0.5190139480606173,0.4238482671719497,0.3179916317991632,0.34309623430962344,0.2514450867052023,0.8606965174129353,1508.3378181304852,7442141.146151575,-88245.31865258003,136580.31865258,42835.0,0.0,0.0,0.0
UBI only,39,80,239.0,0.5348109164019643,0.5155169324200548,0.4351464435146444,0.40585774058577406,0.31761006289308175,0.8571428571428571,1824.6971697556114,8332696.732990219,-109741.19980632738,156201.1998063274,42460.0,0.0,0.0,0.0
UBI only,40,80,234.0,0.5445693553556143,0.45811208907126155,0.3162393162393162,0.2948717948717949,0.11799410029498525,0.8453865336658354,2080.6397662190902,8487183.871388063,-116860.34661753448,165752.7267694921,42625.0,0.0,0.0,0.0
Targeted only,21,80,235.0,0.5117968335244829,0.4603604585235179,0.33191489361702126,0.34893617021276596,0.26666666666666666,0.8455882352941176,1790.6731928850143,10214042.002829244,-144893.8151319448,172671.8151319448,0.0,25278.0,606.0,1194.0
Targeted only,22,80,238.0,0.4919424995950863,0.462743009458201,0.3319327731092437,0.33613445378151263,0.2463768115942029,0.8712121212121212,1782.8923614807943,8431637.80193114,-119191.78507082972,150141.78507082973,0.0,25950.0,384.0,1126.5
Targeted only,23,80,241.0,0.5251022632023337,0.42853903218288236,0.24481327800829875,0.2863070539419087,0.15706806282722513,0.880184331797235,2230.9367584596366,10452671.582988348,-150903.8465103056,183077.3465103056,0.0,27673.5,472.5,1453.5
Targeted only,24,80,229.0,0.5254350916909274,0.4697017826182759,0.35807860262008734,0.36681222707423583,0.23123123123123124,0.8694516971279374,1856.9816278050728,9996951.841002475,-123811.49309589148,153670.9930958915,0.0,26359.5,489.0,1168.5
Targeted only,25,80,239.0,0.5431589514539967,0.4685739487842675,0.34309623430962344,0.41841004184100417,0.26548672566371684,0.8582278481012658,1677.4515354465075,6996602.757760175,-96935.92499327459,135296.9249932746,0.0,32361.0,258.0,1497.0
Targeted only,26,80,242.0,0.5268296245647601,0.4526584722603473,0.3347107438016529,0.34297520661157027,0.2641025641025641,0.9090909090909091,1846.582648526107,9868340.74691442,-151064.60874324324,181905.60874324324,0.0,26841.0,640.5,1284.0
