income_tax_rate,corporate_tax_rate,ubi_amount,tier_scale,final_treasury,avg_deficit_last20,gini_assets,means_tested_poverty_rate,unemployment_rate,tax_revenue,ubi_spending,targeted_spending,score
0.2,0.2,100.0,0.25,-1218522.3212255314,44594.00540281028,0.8231559873114557,0.8355549229808569,0.6106967401486495,86457.66126385638,76451.66666666667,54600.0,1.2998871449802185
0.24,0.24,100.0,0.35,-1149881.06572434,46685.18690191642,0.8273523613658442,0.8478969731492206,0.6191420597514815,106582.64643141691,76628.33333333333,76639.5,1.3020200491331473
0.2,0.2,40.0,0.45,-1104730.494402246,44549.51703351006,0.8384886024232726,0.8507420682625243,0.6429356974574387,87195.2496331566,31098.666666666668,100646.09999999999,1.3080204156981674
0.24,0.24,40.0,0.55,-1099356.5278676047,50099.77264691761,0.8293963058412702,0.8568793028453151,0.6543472000486891,104915.62735308237,31228.0,123787.40000000001,1.3223904950442023
0.28,0.28,100.0,0.45,-1169576.8999423068,48138.11198948626,0.8269928925974748,0.8469893742621015,0.5779725115200827,120788.48801051376,74090.0,94836.59999999999,1.3322731238423575
0.28,0.24,80.0,0.45,-1121857.8961505645,48520.05598885248,0.8494730947986987,0.8475232207501987,0.6171560132035844,111571.64401114754,61044.0,99047.7,1.4243224662278153
0.2,0.24,60.0,0.45,-1326690.0194591542,45673.459999211576,0.8173874854839923,0.8562261497099076,0.6477539299074693,99466.24000078841,46452.0,98687.7,1.4255808316711756
0.28,0.2,40.0,0.55,-1090476.3772153228,45048.67050470126,0.8633019444150487,0.8448811497968939,0.5993792777554406,104887.02949529875,30270.0,119665.7,1.4359160482425517
0.16,0.2,60.0,0.35,-1369578.4621284695,47747.74980598955,0.8213570247085937,0.856599042918542,0.6643211937488753,74467.15019401045,45777.0,76437.90000000001,1.5352569847964608
0.28,0.2,100.0,0.35,-1252254.4260152578,48632.855078280845,0.8473668380794678,0.8540212798825367,0.6236901041126752,100287.31158838583,74331.66666666667,74588.5,1.556205564936083
0.24,0.28,60.0,0.55,-1327427.0632157947,55034.27544359002,0.8171267561842971,0.877977766811011,0.6612463111175159,112487.92455640998,46025.0,121497.2,1.5787343549519097
0.24,0.2,60.0,0.45,-1282115.2914135782,52178.11734601277,0.841813900839366,0.8638007030670535,0.6455997323353438,93704.98265398723,46218.0,99665.09999999999,1.6077602759401455
0.16,0.24,80.0,0.35,-1645882.446714626,48583.09217340258,0.8100466990871732,0.8266196733308663,0.5738139005602241,86721.34115993074,60353.333333333336,74951.09999999999,1.6706119095295604
0.16,0.28,40.0,0.55,-1694388.6085439958,55775.02935328775,0.7913145795875396,0.8425735466056764,0.6258580694545162,94210.23731337891,30540.666666666668,119444.59999999999,1.7105524727096002
0.2,0.28,80.0,0.45,-1625838.2158515083,57121.8185184246,0.8014098424291557,0.841423456833704,0.6301018459519798,102407.41481490871,61293.333333333336,98235.90000000001,1.713741369174233
0.16,0.28,100.0,0.35,-1784750.3154161007,52014.65597119199,0.7949240390314539,0.8181957914634873,0.5920388871840871,98934.51069547469,76171.66666666667,74777.5,1.736211692139855
0.24,0.24,80.0,0.45,-1538675.0116594124,54782.06838083386,0.8223168534511647,0.8578498381352343,0.6198423398635263,104431.16495249949,60941.333333333336,98271.90000000001,1.7614754923413445
0.16,0.2,100.0,0.25,-1760307.5276093895,48722.56390704383,0.8078316056777582,0.8229570219045906,0.5390494628702545,78814.43609295618,75015.0,52522.0,1.7658158444516954
0.28,0.24,60.0,0.55,-1499735.0203275513,54328.496561131295,0.8383109387891704,0.8406591533279202,0.6095938400794516,113903.80343886871,46228.0,122004.3,1.7795829252258633
0.2,0.2,80.0,0.35,-1647819.1209029735,52121.97753085939,0.8208723074440788,0.8522274890807612,0.6267052805626739,85874.95580247395,61425.333333333336,76571.59999999999,1.8241067189336995
0.24,0.28,100.0,0.45,-1791123.0439672032,58058.58008678549,0.8012460531465809,0.8212072635814294,0.5845334023559969,116108.91991321451,76585.0,97582.5,1.846978690773539
0.2,0.28,60.0,0.55,-1866269.690370138,58045.81050179253,0.787728638952968,0.8409410169728057,0.6136818215319554,106167.48949820746,45828.0,118385.3,1.8803606629476188
0.2,0.24,40.0,0.55,-1781568.1222631745,57988.83063739009,0.8069859054245478,0.8330873033587592,0.6061758227650208,96500.83602927656,31388.666666666668,123101.0,1.8949254677980178
